2026-03-04 22:55:51 | INFO | utility | availability columns: ['Horodateur', 'Name', 'Adresse e-mail', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']
2026-03-04 22:55:51 | INFO | utility | /api/availability: 20 workers
2026-03-04 22:55:51 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:55:51] "GET /api/availability HTTP/1.1" 200 -
2026-03-04 22:56:26 | INFO | utility | Scheduler triggered via UI.
2026-03-04 22:56:27 | INFO | utility | Scheduler done. Total shortages: 0
2026-03-04 22:56:27 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:56:27] "POST /api/run HTTP/1.1" 200 -
2026-03-04 22:56:27 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:56:27] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:56:42 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:56:42] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:56:55 | INFO | utility | need_for_staff.csv updated via UI.
2026-03-04 22:56:55 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:56:55] "POST /api/demand HTTP/1.1" 200 -
2026-03-04 22:57:01 | INFO | utility | Scheduler triggered via UI.
2026-03-04 22:57:02 | INFO | utility | Scheduler done. Total shortages: 0
2026-03-04 22:57:02 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:57:02] "POST /api/run HTTP/1.1" 200 -
2026-03-04 22:57:02 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:57:02] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:58:34 | INFO | utility | === Application started (Flask mode) ===
2026-03-04 22:58:34 | INFO | utility | StaffManager initialised — CSV files loaded.
2026-03-04 22:58:34 | INFO | utility | Flask bridge initialised. Starting web server...
2026-03-04 22:58:34 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-03-04 22:58:34 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-03-04 22:58:35 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:58:35] "[36mGET / HTTP/1.1[0m" 304 -
